is_duplicate,spanish_sentence1,spanish_sentence2
0,hol hag clic en el product recib,compr un product y no he recib un corre electron de confirm
0,hol cerr la disput el 21 de may de 2017 y dic que se realiz el reembols cuand se reembols el diner,no obtuv el reembols de mi diner han pas dos mes cuand devolv diner
0,orden de españ a españ ahor que mand el ped de chin,mi ped lleg per el color es diferent al que ped
1,deb pag impuest personaliz,com pag los derech de aduan
0,no recib mi ped,mi ped muestr que no he pag per lo hic
0,hol eva al principi la pregunt pued escrib en aleman,com pued escrib comentari par los product
0,estoy tan enoj,abri una disput y hast ahor nad
0,no pued abrir una disput,no pued rastr
0,com pued verific el numer de ped,dond pued ver el numer de mi rastreador de ped
0,no necesit una respuest tuy,necesit una factur por este articul que te compr
0,com respond a una disput,com respond a los comentari
0,no viv en chin viv brasil,quier contact en viv ahor
0,que signif su orden ser cerr,orden de seguimient que signif coleccion
1,com intercambi moned,com cambi mis moned por cupon
1,com inform a un vendedor de fraud,quier inform al vendedor
0,hol quier compr algo per el vendedor tien que ajust el preci mi sistem funcion automat y no permit que el vendedor se ajust por favor ayud,hol necesit decirt algo sobr mi orden
1,com pued sab si mi ped ha sid envi,com pued sab si mi ped fue envi
0,cancel mi ped con el vendedor ya,ya pag mi ped
0,orden de españ a españ ahor que mand el ped de chin,soy un proveedor de chin
0,quier hac compr com compr,vendr a vert mañan
0,hol viv en canad y actual estoy rastr mi paquet y el estad dic que ha lleg al pais de destin per dic que esta en estambul mi paquet fue envi al pais equivoc,cuand pued recib mi paquet despues de envi el product
1,la promocion comenz per por que el preci del product no camb,por que el preci de la promocion no se cambi
0,el numer de color era l,com pued ver mi mensaj
0,he hech tod el seguimient,teng una disput y la compañ no ha hech nad par resolv el problem
0,mis formulari y document no van,cuand recib mis ped
1,com hac un ped,com hag el ped
1,impos unirs a la atencion al client de contact,com pued contact al servici de atencion al client
0,quier hac compr com compr,que es un carrit de compr
0,no pued abrir una disput,no pued adjunt una fot par una disput
0,mi ped no esta siend proces,mi tarjet de debit no esta siend acept
1,por favor el plaz de la proteccion de compr ha termin pued devolv mi diner teng que esper la disput el error fue al envi el siti la mercanc no fue envi a brasil graci,com devuelv diner si los bien no se recib
0,no has inici sesion o tu sesion anterior ha expir por favor inici sesion de nuev,por que dic que el proveedor le ha envi un mensaj en su ped
0,es tu siti segur,mi proveedor ha desaparec de su siti
0,acab de recib un corre electron que dic que teng que devolv la bat y pag el franque de devolu par obten un reembols no es mi culp recib el articul incorrect por lo tant el vendedor deb envi un mensaj de vuelt,recib un corre electron dic que teng un mensaj par mi ped per no hay ningun
0,ok por favor contactam con otras person,pued contact a otros comprador
0,com elimin mensaj en la aplic,com elimin las cooki
0,cancel mi orden,mi vendedor no cancel mi ped
0,quer teng que pag una gran cantid per no teng los comentari adecu,com consult a un vendedor si no tien comentari
0,han pas 32 dias y no veo ningun actualiz en mi ped,por que no veo ningun registr de mi ped
0,com extiend la proteccion del comprador,com pued ser eleg par la proteccion del comprador
1,hol me gust sab si un vendedor necesit que le envi de vuelt com me reembols las tarif de envi mas el cost del vest ya que estoy usand el corre registr en singapur,es car par mi envi el bien de vuelt
0,com hag el ped,com realiz un seguimient de mi ped
0,podr ayud,hablam
0,nunc he compr nad,compr un product y no he recib un corre electron de confirm
1,com sub una fot,no pued sub document
0,quier zapat mas anchos par camin el ancho deb ser e ee eee eeee,quier ser cancel de tod los corre electron
0,tom demasi tiemp,cuant tiemp tard el envi
1,no pued pag con transferent bancari,estoy trat de hac un pag por transferent bancari per no pued
0,hol diner quier hac lo que teng que hac lo que teng que hac,que garant teng par compr aqu
0,pus la autoriz y se aprob per todav no funcion,cuand se aprob el reembols y cuand lo recib
0,com abrir una disput en la aplic,com pued abrir una disput si la orden esta complet
0,por favor lea arrib,com pued leer los comentari escrit sobr mi
1,com cancel la disput,com cancel una disput
0,el vendedor anunci un preci incorrect,el vendedor ha envi las mercanc en el indic incorrect
0,recuper moned de la aplic,com recuper un ped elimin por error
0,no pued usar un cupon u obten descuent,com pued obten el descuent
0,necesit encontr mi inform de pag,necesit inform sobr el pag de western union
1,no recib mi reembols,por que no recib el reembols
0,trat el reembols y devuelv el product el menu es demasi car y envi product a chin quien soport el cost del transport de bien,pued envi mis product a chin
0,quier ser vendedor,quier un reembols complet per el vendedor no estar de acuerd
1,otras orden lleg a tiemp,articul no lleg
1,mi preocup es conoc el progres de mi ped,quier sab com es mi ped
0,com configur mi moned,com el convertidor de moned
0,quier el diner tan pront com no lo intent de nuev o compr algo de usted,ofrec inform de envi si compr de usted
0,hol me extend al servici de atencion al client 3 vec,presion el boton pag ahor 3 vec que pued hac
0,y la razon se deb a la razon de segur por la que suspend mi cuent,com verific el motiv de la disput
0,com elimin mensaj en la aplic,com elimin la orden pag
0,com sub evident en disput,no se com sub fot
1,pued chat con una person robot eva no lo esta entend,pued chat con una person real
0,necesit un cambi pued envi un corre electron porqu no localiz mi corre electron y necesit compr,necesit tu direccion de corre electron
0,hol buen noch necesit tu ayud no pued emit un ticket par pag una cuent,necesit tu ayud anna
0,por favor borr las cooki en su naveg,por favor dam tu corre electron de soport par tu siti
0,no se el problem,no se tu siti web
0,y yo tambien,la tarif de envi es demasi alta par mi
0,com busc buen vendedor,com borr mi historial de busqued
1,he pag por mi product,he pag
0,com vincul mi tarjet,no recib un enlac de verif en mi corre electron
0,com abrir una disput,com abrir el estuch
0,no me esta dand la respuest correct necesit los diez articul principal que vend en 2017,no me respond
1,quier compr algo product per no se com pag diner,quier pag al vendedor
0,com dej comentari al vendedor,com dej un comentari anonim
0,com veo el cupon,com obteng un cupon
0,cuand mi pag sea cancel,cuand recib mi reembols por el ped cancel
0,present mi apel hac 4 dias y no tuv ningun respuest,envi diner hac 3 dias y el estad no camb
0,me cobr por un articul que pens que hab compr per nunc lo recib y no pued encontr rastr de mis ped,nunc he recib el product compr
0,he orden con una direccion de corre electron incorrect,he ingres una direccion de entreg incorrect
0,quier cambi el tamañ,quier sab el tamañ en brasil
0,com pued inform al vendedor de fraud,recib un corre electron con un avis de que el vendedor es sospech de un problem de fraud
0,incapaz de encontr la direccion,incapaz de obten respuest del vendedor
1,no teng un numer de seguimient estoy trat de hac un ped,estoy trat de orden y no esta funcion
0,si su ped muestr ped cancel signif,pag un ped per sig mostr el mism estad
0,leer mi pregunt antes de respond por favor,quier leer los comentari escrit sobr mi ped
1,entonc dond pued encontr cupon que me intercamb dond estan,dond pued ver mis cupon
0,per uso cajer automat,si quier usar un cupon
0,envi rap de mensaj,habl muy rap
0,com encontr un vendedor confiabl,pued encontr un vendedor verific
0,algui mas sab vietnamit quier oder,quier sab sobr el proces de western union par compr
0,com uso el cupon select,com seleccion la moned
1,necesit habl con el ser human por favor,quier habl con un human en line
0,com hag el ped,com cancel el ped congel
0,hol me extend al servici de atencion al client 3 vec,hast ahor todav no he lleg a mi orden
0,no se pued abrir una cuent,lo sent su cuent se ha marc por algun motiv y no pued particip en esta promocion
0,present mi apel y no pas nad,no pued envi mi formulari de disput
0,no recib el corre electron de la orden de proteccion de compr,no pued extend el tiemp de proteccion de una orden
0,que hor es en chin,que es el tiemp de proces
0,necesit que confirm mi tarjet de credit,guard mi tarjet de credit per necesit reemplaz por una nuev
1,tien un numer de telefon,tien un numer de telefon
0,hol al contact ahor hab un icon de chat ahor en el lad izquierd de la pagin ahor ya no esta,cuand hag clic en pag ahor me esta llev a la pagin de inici de sesion
0,el tiemp de disput ha termin,mi tiemp de proces ha termin y quier extend
0,quier envi el ped tod a la vez,me gust pag tod el articul a la vez
0,estoy bien,estoy en
0,devuelvem al oper,com convert la cuent del comprador en cuent del vendedor
0,un coleg dij que ser restaur,pag un ped per dec que todav esta esper el pag
1,es esto una jod comput,eres una person o una comput
0,com pued verific si un vendedor es confiabl,com revis mi cupon
0,contact al vendedor,no pued contact al vendedor
0,no recib el corre electron de la orden de proteccion de compr,se pued extend mi proteccion de compr
0,despues de hac mi ped me dijeron que habr envi adicional porqu cambi mi direccion buen no cambi mi direccion per pag los carg adicional par ver que,quier cambi mi direccion de envi par la orden de logist
0,hol no he pod pag algun articul porqu me dic que hay un error que intent mas tard me pued ayud,he escrit al vendedor de diferent maner per el todav me ignor
0,el vendedor camb el metod de envi,com pued cambi el metod de envi
0,necesit los diez mejor articul que se vend en 2017 en alta,en que situacion me ser reembols
0,quier confirm que recib la mercanc y estoy content con ella per no pued inici sesion,necesit recib mercanc pront
0,entonc estab compr un cas,quier extend la compr de proteccion
0,pued orden por nombr de la compañ,nunc orden de esta compañ otra vez
0,hol quier envi un corre al gerent de vent necesit la direccion de corre electron,necesit la direccion de corre electron de esta empres
0,si el product de mi ped se coloc en europ y quier lleg a finlandi deb pag impuest,quier hac un ped
1,teng un problem con usted,teng un problem con un ped
0,com cambi el preci,com sab el preci
0,a que hor deb contact par recib ayud,que hac en tu tiemp libr
1,com cancel mi cuent,me gust sab com cancel mi cuent
0,asi que por favor borr mi nuev cuent,quier reactiv mi cuent por favor ayud
0,por que el preci del product no camb,com cambi el preci en eur
0,un coleg dij que ser restaur,el vendedor dij que los bien se perd
0,no pued ver el orden en mi aut,por que no pued ver mis comentari
0,hol ped un disfraz de cosplay con la moned equivoc cancel el ped y el vendedor me dij que se aclar de inmediat per ahor no hay suficient credit en la tarjet podr amabl recib la cantid lo mas rap posibl teng que volv,el vendedor me dij que cancel la orden de devolv el diner que pued hac
0,el me lo escrib ayer,el vendedor cambi de oper sin avis y ahor quier que pag carg adicional
0,direccion predetermin,pued el vendedor cambi la direccion
0,hol al contact ahor hab un icon de chat ahor en el lad izquierd de la pagin ahor ya no esta,cual es el estad en este moment
1,es esto un ser human,necesit habl con un human
0,me gust lo mas pront posibl,me gust chat en viv
0,entonc esto deb ser una brom deb estar brom,me confund
0,ya le pregunt algo de lo que estoy habl con una comput no,teng una disput en progres per el vendedor se nieg a habl conmig
0,pued reabr una disput,pued reabr la disput despues de cerr
0,hag clic en el boton pag ahor y dic cad vez que ha hab error asi que no pued pag mi ped,he devuelt mi ped per el ped ya se ha complet
0,cad vez que intent pag el ped que he realiz aparec un mensaj de error que indic que por motiv de segur no se pud ejecut el pag com se pued resolv esto,recib un corre electron que dec que mi orden fue cancel por falt de pag
0,por que el preci del product no camb,el proveedor cambi el preci de la orden sin mi permis
0,la retroaliment no se muestr,mi cuent aparec en español necesit ingles
0,de acuerd por favor o pued pregunt al otro,pued preguntart algo
0,sol necesit un reembols estoy feliz con esto por favor pag el diner,necesit un represent en viv por favor
0,hol me gust sab com patrocin a un amig,me gust sab los comentari de un vendedor
0,cancel sin envi,no hay inform par mi envi en este moment
0,ven a mi cam,quier que mi paquet lleg mas rap
1,el corre electron de registr no funcion,recib el corre electron par mi registr per no pud ver el enlac de verif par hac clic en el
0,no recib mi ped,no habl ingles
0,pued usar la tarjet vis entonc si es asi com podr agreg la tarjet a la inform,com pued compr product si no teng una tarjet de vis
0,com pag diner por mi product lo que elij,com elij los color que quier
0,quier usar otro metod de pag,quier cancel un ped y usar el diner par pag otro ped
0,hol eva necesit elimin mi tarjet de credit anterior y registr mi nuev tarjet de credit,quier un reembols a mi tarjet de credit
0,me gust sab sobr el arancel adicional que es com pued usar,recib un cupon de descuent me gust sab com pued usarl
0,no he recib mis bien,com present una disput despues de recib mis bien y el tiemp se agot
0,la pregunt anterior,teng una pregunt sobr el reembols
1,recib mis ped y estoy muy descontent con la form en que huel los zapat,recib un articul con muy mal estad
0,mi ultim comand compr esto,por que no pued compr product con mi cuent
0,he analiz lo que sugir y no me ayud necesit que mi cuent sea elimin o mi contraseñ par restablec el corre electron y el nombr de usuari por favor pon a tu jef,hic el pag en line el pag se realiz
0,com aplic la garant,el cupon se aplic automat
1,pag los product que nunc he recib sin embarg no yo he puest una confirm de recib y tambien un comentari,nunc he recib el product compr
0,el ped ha sid envi hac 20 dias per aun no lo recib,com se si mi ped ha sid envi
0,lo sent su transaccion no pas la verif deb a razon de segur la transaccion ha sid cerr,lo sient su pag no fue exit no se ha deduc diner
0,no pued abrir la disput,pued abrir una disput que cancel
0,ok el te pierd,perd mi contraseñ
0,quier cambi mi tarjet de credit que esta registr par el pag,quier un reembols a mi tarjet de credit
0,com pued cambi los dat de mi tarjet de credit,com pued cambi mi direccion de envi
0,que pas cuand abra una disput,cuand recib un reembols despues de abrir la disput
1,no pued habl en viv,no pued habl ingles
1,com encontr vendedor es confiabl,com encuentr vendedor confiabl
0,que hor es en chin,cual es el numer de contact del chin post
0,no quier un robot estup necesit una respuest,no habl ingles bien
0,compr un iteam ayer y me han cobr el iteam que aparec en el extract de mi tarjet de credit trat de averigu por que cuand ingres en mi historial de compr no aparec el numer de ped o el numer de seguimient,com pued encontr mi numer de rastre
1,que es una proteccion del comprador,que es la proteccion del comprador
0,por que sig public calient encendedor de cigarrill sin llam recarg usb electron no hay gadgets de gas de color blanc etc que tod dic no se pued entreg a finlandi por que no se pued envi a finlandi,cuant dias par entreg el paquet
0,com usar el servici de garant,com usar el cupon
1,vendedor tien otro comport,teng un problem con un vendedor mal
0,hag tod y no pued,no pued habl ingles
0,no cre una cuent cuand ped mi product,por que no pued cre una cuent par mi
0,que suced con mi ped cuand el estad de mi envi indic envi cancel,que suced si un ped se muestr dos vec en mi cuent
0,com pued volv a envi un vendedor de fraud,com pued cambi la disput si el vendedor esta de acuerd
1,el cargador inalambr que recib esta defectu y no se carg,los product son defectu
