is_duplicate,spanish_sentence1,spanish_sentence2
1,"no he pod pag con mi tarjeta, que deb hac",no pued pag mi ped con mi tarjeta.
0,"por que aparec ""no pagado"" cuand el pag ya ha sid deduc en mi tarjet","he pag por transferent bancaria, per el pag no ha sid recibido."
0,cuand recib mi reembols si pag con tarjet de credit,cuand recib el reembols si cancel mi ped
0,que pas despues de abrir una disput,que pas despues de hab envi mi solicitud de servici de garant
0,el product que he recib no correspond con la descripcion. ?qu pued hac,he recib un product que no funciona.
0,por que se ha cerr mi ped,por que mi ped esta cerr por ped rechaz
0,por que no pued realiz un ped,pued cancel un ped pag por adelant
1,por que mi pag esta deduc incorrect,por que mi pag esta deduc incorrect
0,com pued pag con mi tarjet de credito/debit,"no pued pag mi ped con tarjet vis de debito, ¿qu pued hac"
0,por que mi ped esta en verif tras el pag,en que etap esta mi ped
0,com pued recib un reembols con la tarjet de credit,com pag con mi tarjet de credit
0,com pued recib un reembols con la tarjet de credit,no pued recib diner en mi tarjet de credito.
0,com pued recib un reembols con la tarjet de credit,pued hac pag con tarjet de credit
0,com pued pag mediant merc pag,pued envi un chequ com metod de pag
0,"el product recib no es bueno, no funciona, ?qu pued hac",que pued hac si el product ped no esta dispon
0,"pued cambi los detall del ped (tamaño, envio, etc)",cual son los detall del product
0,"pued cambi los detall del ped (tamaño, envio, etc)",pued cambi mi envi a envi gratuit
1,que es la proteccion del comprador,que es la proteccion del comprador
1,com pag el ped mediant transferent bancari,com proced a pag por transferent bancari
0,pued cancel un ped de pre-vent,pued cancel un ped pag
0,el nombr o la contraseñ de su cuent es incorrecto.,cual es el numer iban de la cuent
1,com cambi mi direccion de email,com cambi mi direccion de email
0,por que no se ha pag mi ped,he pag y mi ped ha sid cancel por email.
0,com recuper un cupon,"teng un cupon, ¿com lo uso en mi nuev ped"
0,por que me sal un error al intent pag,que pued hac si he hech un ped por error
1,por que el pag ha sid deduc dos vec,por que mi pag se ha hech dos vec
0,no he recib el reembols,he recib tant la mercanc com el reembols completo.
0,com pued combin vari ped en un sol pag,pued combin mensaj de diferent ped
0,com fij mi direccion de entreg,he introduc una direccion de entreg incorrecta.
1,com pued confirm la entreg una vez que he recib mi ped,confirm ped recibido.
0,com pued denunci a un vendedor/product,com denunci vulner de marc
0,com elimin un ped,com elimin mi inform
0,com pon en contact con el equip de disput,com pued pon en contact con el vendedor
0,el ped se cancel ?cuant tiemp ser necesari par que el diner este en mi tarjet de credit,no entend la form en la que el diner ser reembolsado.
0,el ped se cancel ?cuant tiemp ser necesari par que el diner este en mi tarjet de credit,recib mi diner de vuelt si se cancel el ped
1,"hola! quier realiz un seguimient de mi pedido, ?com pued sab el numer de seguimient",quier mi numer de seguimiento.
1,dese comunic con un supervisor,quier habl con un humano.
0,dic que el sistem no esta dispon intent mas tard,"intent pagar, per dic que el sistem no esta disponible."
1,dic que el sistem no esta dispon intent mas tard,"sistem no disponible, intent de nuev mas tarde."
1,com pued pag con webmoney,com pag a traves de webmoney
0,com pued pag con webmoney,com pued pag con western union
1,"el sistem no esta dispnible, intental de nuev mas tard","el servici no esta disponible. por favor, intentel de nuev mas tarde."
0,com pued pag en mi moned local,com pued pag tod mis product en la cest de la compr en un sol pag
0,com pued pag en mi moned local,com pued pag con ideal
0,cuant tiemp se tard en obten un reembols complet,cuant tard en entreg
1,por que teng un carg en mi tarjet de credit cuand yo no ten un ped,me cobr en mi tarjet de credit cuand yo nunc les he compr nada.
1,abri una disput y ?qu deb hac a continu,"he abiert una disputa, ¿qu pued hac despues"
0,no he recib mi reembols,no he recib mi paquete.
0,dond esta el diner de mi ped de rembols,recib mi diner de vuelt si se cancel el ped
